"Well done presentation.;Good introduction could have included the agenda.;The slides were good and had a minimalistic design.;The stakeholders positively and negatively impacted were well identified.;Members did not rightly do the takeover which reduced the flow in the presentation as a team.Went overtimeThe conclusion should have had the Ethical dilemma part more clearly mentioned, but overall good work done.",72.0
Agenda:very well written and well structuredMinutes:Meeting minutes include the discussion items from the Meeting agenda which is not done in your case.;You didn't write about the outcomes from the discussion with the IM. Minutes must include what was discussed/suggestions/outcomes;,69.0
"Thanks for the submission. A very good effort was made with some useful and constructive feedback provided. There is still room for improvement.;Always try to justify your statements. When you see the page when opened looks like a studio mentor page, you need to explain your specific point here.;Some of the comments provided were not clear (e.g. ""should consider some more technical features that they can put in that site and it should also be meaningful""). In this type of feedback, I suggest writing in bullet points with a clear indication of what needs to be improved, why it needs to be improved, and how it can be improved.;;;",68.0
"Well done guys!Your video is now compelling with strong message and emphasize your product features.;Maybe less text would make it perfect.Regards,Pooneh;",76.0
"At the top of your feedback form, under the category ""Reviewing team (you)"" you mistakenly named your team ""TP35"" (you are TP34, right?)The ""Audience"" for the IM Page are the actual Industry Mentors -; they will be the ones looking at it. But you mistakenly assume the audience is of the project app itself, ie ""7-15 years old children"".The rest of your feedback is pretty good - it's constructive, specific and quite well explained. It wasn't too harsh or overly judgemental, and you offered some helpful suggestions.Good effort.",56.7
"Some useful suggestions, however it's important that you also give detailed feedback - explain why the changes suggested would be beneficial / are needed in order to help the other team understand how to implement the feedback.;Some general hints on giving constructive feedback:Be specific and give reasons – explain your feedback: To help the person understand why it should changeDon’t judge: Describe what could be done differently rather than state what is “good / bad / wrong / right”Be helpful: Offer suggestions for improvement",65.0
well done....most feedback incorporated,75.0
"Hi Zhou,Unfortunately, your Business Report was submitted 23 hours late so you have been marked down by 10% (56 - 5.6 = 50.4)Your business report covers many of discussion points and challenges relevant to the situation you were assigned to report on. However, many of those issues were glossed over and not explored enough in detail. For example, in your Challenges section you simply provided sub-headings and bullet points with know context provided or further discusion made to explain to your audience their relevance. The issues should be analysed in enough depth to enable the reader to understand / persuade the reader why the issue is important to the company and what the implications and risks would be for the business. One way to address this is to include case studies or facts of why “issue x” could be a problem.;All the best for your exam and future endeavours!I really enjoyed teaching you.Peter H.",50.4
"Overall good agenda and meeting minute.What could be improved:-No facilitator identified in agenda. Goodthat you have allocated time to each agenda item. -Objective of the meeting should be clearlystated. This is a very important part of your agenda. - While your minute template is agood one and easy to follow, I am not sure why your meeting minute contains ‘Strategiesfrom week 1’. Yes, you were supposed to apply the strategy but not include inyour actual meeting minute. It will not make sense if you need to circulatethis meeting minute to your IM.- I would have liked to see moreelaboration on the discussion points which would be most important part of theminute. - Good to be able to see yourreflection piece although you did not have to include it in your minute. Someof the points mentioned in your reflection piece actually belongs to yourmeeting discussion section. -Actionable items missing.",64.0
"The report covered the key requirement where key characteristics of a high-performing team are listed, followed by the challenges and recommendations. The challenges were discussed and clearly presented and the report is logically structured making it easy to follow and read. Ways to improve: The executive summary is very good as it summarized the key findings but it has to be specific listing all recommendations you proposed. I found the recommendations to be easier to follow if they are grouped or categorized based on the challengesI suggest discussing the key challenges in this scenario that are team development issues and virtual teams. Discuss how key challenges relevant to these two issues and what would you recommend in relation to them.    ",73.5
Good work team!;- PPT slides can be more standards across slides- Companies that lose business need to be more clarified-;Presentation could have been more aligned to the question;,78.0
The basics structure of an agenda was missing: The agenda is not clearly a separate document in this case.The objective of the meeting was not clear: To ensure your meeting is effective it is important the objective of the meeting is obvious. This could be included in the heading or as a separate section at the top of the meeting. For example: To seek feedback from our Industry mentor on what is working well and what needs to be done differently with our projectDiscussion points were not explained: If this agenda is shared with stakeholders they wouldn't know what you mean by open data and news. Possibly 1-2 lines description helps the audience of the meeting to understand why it is important to discuss that point. Template for Minutes did not suit purpose or content: It's worth having a look at other template options to see if this template is the best fit for the purpose of your minutes / your content. Team members or other stakeholders who could not attend the meeting need to understand from the minutes. Your outcomes and action plans were well written. ,55.0
,71.0
Well writtenSuggestions are helpful though some are a bit genericIn one section you have addressed in second person which should have been avoided,76.0
