"",SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
0,Yuejing more in depth analysis is required and see how you can link key concepts. 58.33,Yuejing more in depth analysis is required and see how you can link key concepts.,Sensemaking 1&Impact 1,58.33,1,1,15,22.17,96.04,99,20.23,15,26.67,86.67,66.67,46.67,6.67,6.67,0,0,6.67,0,0,0,6.67,0,0,6.67,13.33,6.67,6.67,0,20,13.33,13.33,0,0,0,0,33.33,0,33.33,26.67,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,20,0,0,13.33,6.67,0,0,0,0,13.33,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0
1,Team 1 requested to re-do their workbook 3 to better their original mark of 55.,﻿Team 1 requested to re-do their workbook 3 to better their original mark of 55.,Impact 1,59,2,1,15,96.08,99,1,97.84,15,20,73.33,40,33.33,13.33,13.33,0,0,0,0,13.33,0,13.33,0,20,20,0,0,0,0,0,6.67,0,20,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,26.67,13.33,6.67,6.67,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,6.67,0
2,The team submitted the workbook 23 days after the submission date. KV 59,The team submitted the workbook 23 days after the submission date. KV,Sensemaking 2,59,2,1,12,99,84.23,89.39,20.23,6,25,75,50,33.33,0,0,0,0,0,0,0,0,25,25,8.33,8.33,0,0,8.33,0,8.33,0,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0
3,Risk assessment and report needs work as discussed in tutorial 70,Risk assessment and report needs work as discussed in tutorial,Sensemaking 1,70,3,1,10,89.52,40.06,1,20.23,10,30,90,50,30,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,0,10,0,10,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10,10,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"""Good effort, Please refer to detailed feedback file attached.","""Good effort, Please refer to detailed feedback file attached.",Agency 2&Agency 1,60.6,4,1,9,98.16,40.06,10.18,99,9,33.33,88.89,33.33,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,11.11,0,11.11,0,11.11,0,33.33,0,33.33,11.11,0,0,0,0,0,0,11.11,11.11,0,11.11,11.11,0,0,0,0,0,33.33,33.33,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,11.11,0,0,0,11.11,0
5,"Best WishesNergiz."" 60.6","Best WishesNergiz.""",Agency 3,60.6,4,1,2,89.52,40.06,1,20.23,2,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,50,0
6,"""lacked depth and detail.","""lacked depth and detail.",Sensemaking 1,54.8,5,1,4,26.1,40.06,1,20.23,4,0,100,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,50,0,50,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,50,25,0,0,0,0,25,0
7,"Failed to cite, and use the prescribed texts so the answers were over simplified and not in accordance with ther learning of this course.","Failed to cite, and use the prescribed texts so the answers were over simplified and not in accordance with ther learning of this course.",Sensemaking 2,54.8,5,1,24,89.52,6.61,68.87,20.23,24,20.83,79.17,62.5,54.17,4.17,0,0,0,0,0,0,4.17,12.5,8.33,0,20.83,4.17,4.17,12.5,4.17,12.5,0,0,4.17,0,4.17,0,16.67,0,16.67,8.33,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,8.33,4.17,4.17,0,0,0,0,0
8,DevOSps is a hybrid between Project managemetn and SDLC.,DevOSps is a hybrid between Project managemetn and SDLC.,Sensemaking 1,54.8,5,1,9,89.52,40.06,10.18,20.23,9,44.44,55.56,44.44,44.44,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0
9,EA provides detail design and requirements for planning as agreed by software developers and IT operations.,EA provides detail design and requirements for planning as agreed by software developers and IT operations.,Sensemaking 1,54.8,5,1,16,78.28,40.06,1.63,20.23,16,37.5,75,37.5,37.5,6.25,0,0,0,0,0,0,6.25,0,0,0,18.75,0,0,18.75,0,0,0,0,6.25,0,6.25,0,12.5,0,12.5,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0
