Sentence,Rubric,Score,FeedbackCode,Avg_Word_Length,Avg_Sentence_Length,Word_Count,Unq_Word_Count,Sentence_Count,Avg_Readability_Index,TokenizedSentences,TokenizedText,Grade,Outcome,Rubric_Encode,Grade_Encode
Yuejing more in depth analysis is required and see how you can link key concepts.,Sensemaking 1,58.33,1,16,4.19,16,9,1,81.63,"['yuejing', 'depth', 'analysis', 'required', 'see', 'link', 'key', 'concepts', '.']",yuejing depth analysis required see link key concepts .,P,Pass,6,4
﻿Team 1 requested to re-do their workbook 3 to better their original mark of 55.,Impact 1,59.0,2,16,4.12,16,11,1,64.71,"['\ufeffteam', '1', 'requested', 're-do', 'workbook', '3', 'better', 'original', 'mark', '55', '.']",﻿team 1 requested re-do workbook 3 better original mark 55 .,P,Pass,3,4
The team submitted the workbook 23 days after the submission date. KV,Sensemaking 2,59.0,2,13,4.46,13,9,2,67.76,"['team', 'submitted', 'workbook', '23', 'days', 'submission', 'date', '.', 'kv']",team submitted workbook 23 days submission date . kv,P,Pass,7,4
Risk assessment and report needs work as discussed in tutorial,Sensemaking 1,70.0,3,10,5.3,10,7,1,52.87,"['risk', 'assessment', 'report', 'needs', 'work', 'discussed', 'tutorial']",risk assessment report needs work discussed tutorial,D,Pass,6,1
"""Good effort, Please refer to detailed feedback file attached.",Agency 2,60.6,4,12,4.58,12,11,1,62.34,"['``', 'good', 'effort', ',', 'please', 'refer', 'detailed', 'feedback', 'file', 'attached', '.']","`` good effort , please refer detailed feedback file attached .",C,Pass,1,0
"Best WishesNergiz."" ",Agency 3,60.6,4,4,4.75,4,4,1,-49.0,"['best', 'wishesnergiz', '.', ""''""]",best wishesnergiz . '',C,Pass,2,0
"""lacked depth and detail.",Sensemaking 1,54.8,5,6,3.83,6,5,1,92.8,"['``', 'lacked', 'depth', 'detail', '.']",`` lacked depth detail .,P,Pass,6,4
"Failed to cite, and use the prescribed texts so the answers were over simplified and not in accordance with ther learning of this course.",Sensemaking 2,54.8,5,26,4.38,26,13,1,72.5,"['failed', 'cite', ',', 'use', 'prescribed', 'texts', 'answers', 'simplified', 'accordance', 'ther', 'learning', 'course', '.']","failed cite , use prescribed texts answers simplified accordance ther learning course .",P,Pass,7,4
DevOSps is a hybrid between Project managemetn and SDLC.,Sensemaking 1,54.8,5,10,4.8,10,6,1,79.26,"['devosps', 'hybrid', 'project', 'managemetn', 'sdlc', '.']",devosps hybrid project managemetn sdlc .,P,Pass,6,4
EA provides detail design and requirements for planning as agreed by software developers and IT operations.,Sensemaking 1,54.8,5,17,5.41,17,11,1,38.32,"['ea', 'provides', 'detail', 'design', 'requirements', 'planning', 'agreed', 'software', 'developers', 'operations', '.']",ea provides detail design requirements planning agreed software developers operations .,P,Pass,6,4
"YOu missed several very vital points"" ",Sensemaking 1,54.8,5,7,4.71,7,5,1,56.93,"['missed', 'several', 'vital', 'points', ""''""]",missed several vital points '',P,Pass,6,4
"""PMBOK (PMI 2013) is a super-ceded reference and is withdraw. You cannot use this as a refernce unless speaking in historical terms.",Sensemaking 1,50.28,6,28,4.0,28,16,2,60.31,"['``', 'pmbok', '(', 'pmi', '2013', ')', 'super-ceded', 'reference', 'withdraw', '.', 'use', 'refernce', 'unless', 'speaking', 'historical', 'terms', '.']",`` pmbok ( pmi 2013 ) super-ceded reference withdraw . use refernce unless speaking historical terms .,P,Pass,6,4
"You have reduced DevOps to the Waterfall vs Agile argument, which is wrong. Devops is the process of EA conceptual design developing requirements that can be planned (using predictive PM methodology) and the delivery is via a SDLC (typically Agile). It is in this hybrid process that EA and cybersecurity are planned for delivery.",Sensemaking 1,50.28,6,62,4.47,62,28,3,44.75,"['reduced', 'devops', 'waterfall', 'vs', 'agile', 'argument', ',', 'wrong', '.', 'devops', 'process', 'ea', 'conceptual', 'design', 'developing', 'requirements', 'planned', '(', 'using', 'predictive', 'pm', 'methodology', ')', 'delivery', 'via', 'sdlc', '(', 'typically', 'agile', ')', '.', 'hybrid', 'process', 'ea', 'cybersecurity', 'planned', 'delivery', '.']","reduced devops waterfall vs agile argument , wrong . devops process ea conceptual design developing requirements planned ( using predictive pm methodology ) delivery via sdlc ( typically agile ) . hybrid process ea cybersecurity planned delivery .",P,Pass,6,4
"If you do not understand EA design priciples as taught in this subject, you cannot describe leading edge DevOps concepts."" ",Impact 1,50.28,6,24,4.33,24,14,1,51.18,"['understand', 'ea', 'design', 'priciples', 'taught', 'subject', ',', 'describe', 'leading', 'edge', 'devops', 'concepts', '.', ""''""]","understand ea design priciples taught subject , describe leading edge devops concepts . ''",P,Pass,3,4
good in general.,Agency 2,75.0,7,4,3.5,4,3,1,59.97,"['good', 'general', '.']",good general .,D,Pass,1,1
Wbs needs work as discussed in tutorial.,Sensemaking 1,75.0,7,8,4.25,8,6,1,64.37,"['wbs', 'needs', 'work', 'discussed', 'tutorial', '.']",wbs needs work discussed tutorial .,D,Pass,6,1
Feedback as provided in consultation.;,Agency 1,70.0,8,7,4.86,7,5,2,15.64,"['feedback', 'provided', 'consultation', '.', ';']",feedback provided consultation . ;,D,Pass,0,1
Both product scope and WBS have room for improvement,Sensemaking 1,75.0,9,9,4.89,9,5,1,87.72,"['product', 'scope', 'wbs', 'room', 'improvement']",product scope wbs room improvement,D,Pass,6,1
Team 1 requested to re-do the workbook 2 to better their original fail mark.,Impact 2,50.0,10,15,4.2,15,11,1,65.73,"['team', '1', 'requested', 're-do', 'workbook', '2', 'better', 'original', 'fail', 'mark', '.']",team 1 requested re-do workbook 2 better original fail mark .,P,Pass,4,4
The team submitted the workbook 31 days after the submission date. KV,Sensemaking 2,50.0,10,13,4.46,13,9,2,67.76,"['team', 'submitted', 'workbook', '31', 'days', 'submission', 'date', '.', 'kv']",team submitted workbook 31 days submission date . kv,P,Pass,7,4
"""Good effort all up, as I mentioned in consultation - Dont allocate 15% to risk mitigation, you need to calculate this.",Agency 2,80.0,11,26,3.85,26,16,1,42.72,"['``', 'good', 'effort', ',', 'mentioned', 'consultation', '-', 'dont', 'allocate', '15', '%', 'risk', 'mitigation', ',', 'need', 'calculate', '.']","`` good effort , mentioned consultation - dont allocate 15 % risk mitigation , need calculate .",HD,Pass,1,2
"Very good effort with this workbook."" ",Agency 2,80.0,11,8,4.12,8,5,1,73.85,"['good', 'effort', 'workbook', '.', ""''""]",good effort workbook . '',HD,Pass,1,2
Cost report needs work as discussed in tutorial. ;,Sensemaking 1,70.0,12,10,4.2,10,8,2,46.44,"['cost', 'report', 'needs', 'work', 'discussed', 'tutorial', '.', ';']",cost report needs work discussed tutorial . ;,D,Pass,6,1
"""Hui Pan, a reasonable attempt - you need t0 show more depth and analysis in your writing.",Agency 2,63.35,13,20,3.75,20,14,1,72.16,"['``', 'hui', 'pan', ',', 'reasonable', 'attempt', '-', 'need', 't0', 'show', 'depth', 'analysis', 'writing', '.']","`` hui pan , reasonable attempt - need t0 show depth analysis writing .",C,Pass,1,0
"However, you made a good attempt at representing the information in the visual diagram.;"" ",Sensemaking 1,63.35,13,18,4.28,18,12,2,31.89,"['however', ',', 'made', 'good', 'attempt', 'representing', 'information', 'visual', 'diagram', '.', ';', ""''""]","however , made good attempt representing information visual diagram . ; ''",C,Pass,6,0
