,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Rubric_new,Rubric_unq,RubricCount,Elements,ElementCount,WordCount
0,Yuejing more in depth analysis is required and see how you can link key concepts. 58.33,Yuejing more in depth analysis is required and see how you can link key concepts.,Sensemaking 1&Impact 1,58.33,1,Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,15
2,The team submitted the workbook 23 days after the submission date. KV 59,The team submitted the workbook 23 days after the submission date. KV,Sensemaking 2,59,2,Impact1 Sensemaking2,Impact1 Sensemaking2,2,Impact Sensemaking,2,12
3,Risk assessment and report needs work as discussed in tutorial 70,Risk assessment and report needs work as discussed in tutorial,Sensemaking 1,70,3,Sensemaking1,Sensemaking1,1,Sensemaking,1,10
5,"Best WishesNergiz."" 60.6","Best WishesNergiz."" ",Agency 3,60.6,4,Agency2 Agency1 Agency3,Agency2 Agency1 Agency3,3,Agency,1,2
10,"YOu missed several very vital points"" 54.8","YOu missed several very vital points"" ",Sensemaking 1,54.8,5,Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1 Sensemaking2,2,Sensemaking,1,6
13,"If you do not understand EA design priciples as taught in this subject, you cannot describe leading edge DevOps concepts."" 50.28","If you do not understand EA design priciples as taught in this subject, you cannot describe leading edge DevOps concepts."" ",Impact 1,50.28,6,Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,20
15,Wbs needs work as discussed in tutorial. 75,Wbs needs work as discussed in tutorial.,Sensemaking 1,75,7,Agency2 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,7
16,Feedback as provided in consultation.; 70,Feedback as provided in consultation.;,Agency 1,70,8,Agency1,Agency1,1,Agency,1,5
17,Both product scope and WBS have room for improvement 75,Both product scope and WBS have room for improvement,Sensemaking 1,75,9,Sensemaking1,Sensemaking1,1,Sensemaking,1,9
19,The team submitted the workbook 31 days after the submission date. KV 50,The team submitted the workbook 31 days after the submission date. KV,Sensemaking 2,50,10,Impact2 Sensemaking2,Impact2 Sensemaking2,2,Impact Sensemaking,2,12
21,"Very good effort with this workbook."" 80","Very good effort with this workbook."" ",Agency 2,80,11,Agency2 Impact1 Agency2,Agency2 Impact1,2,Agency Impact,2,6
22,Cost report needs work as discussed in tutorial. ; 70,Cost report needs work as discussed in tutorial. ;,Sensemaking 1,70,12,Sensemaking1,Sensemaking1,1,Sensemaking,1,9
24,"However, you made a good attempt at representing the information in the visual diagram.;"" 63.35","However, you made a good attempt at representing the information in the visual diagram.;"" ",Sensemaking 1,63.35,13,Agency2 Impact1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,14
