,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode
0,Yuejing more in depth analysis is required and see how you can link key concepts. 58.33,Yuejing more in depth analysis is required and see how you can link key concepts.,Sensemaking 1&Impact 1,58.33,1
1,Team 1 requested to re-do their workbook 3 to better their original mark of 55.,﻿Team 1 requested to re-do their workbook 3 to better their original mark of 55.,Impact 1,59,2
2,The team submitted the workbook 23 days after the submission date. KV 59,The team submitted the workbook 23 days after the submission date. KV,Sensemaking 2,59,2
3,Risk assessment and report needs work as discussed in tutorial 70,Risk assessment and report needs work as discussed in tutorial,Sensemaking 1,70,3
4,"""Good effort, Please refer to detailed feedback file attached.","""Good effort, Please refer to detailed feedback file attached.",Agency 2&Agency 1,60.6,4
5,"Best WishesNergiz."" 60.6","Best WishesNergiz."" ",Agency 3,60.6,4
6,"""lacked depth and detail.","""lacked depth and detail.",Sensemaking 1,54.8,5
7,"Failed to cite, and use the prescribed texts so the answers were over simplified and not in accordance with ther learning of this course.","Failed to cite, and use the prescribed texts so the answers were over simplified and not in accordance with ther learning of this course.",Sensemaking 2,54.8,5
8,DevOSps is a hybrid between Project managemetn and SDLC.,DevOSps is a hybrid between Project managemetn and SDLC.,Sensemaking 1,54.8,5
9,EA provides detail design and requirements for planning as agreed by software developers and IT operations.,EA provides detail design and requirements for planning as agreed by software developers and IT operations.,Sensemaking 1,54.8,5
10,"YOu missed several very vital points"" 54.8","YOu missed several very vital points"" ",Sensemaking 1,54.8,5
11,"""PMBOK (PMI 2013) is a super-ceded reference and is withdraw. You cannot use this as a refernce unless speaking in historical terms.","""PMBOK (PMI 2013) is a super-ceded reference and is withdraw. You cannot use this as a refernce unless speaking in historical terms.",Sensemaking 1&Impact 1,50.28,6
12,"You have reduced DevOps to the Waterfall vs Agile argument, which is wrong. Devops is the process of EA conceptual design developing requirements that can be planned (using predictive PM methodology) and the delivery is via a SDLC (typically Agile). It is in this hybrid process that EA and cybersecurity are planned for delivery.","You have reduced DevOps to the Waterfall vs Agile argument, which is wrong. Devops is the process of EA conceptual design developing requirements that can be planned (using predictive PM methodology) and the delivery is via a SDLC (typically Agile). It is in this hybrid process that EA and cybersecurity are planned for delivery.",Sensemaking 1&Impact 1,50.28,6
13,"If you do not understand EA design priciples as taught in this subject, you cannot describe leading edge DevOps concepts."" 50.28","If you do not understand EA design priciples as taught in this subject, you cannot describe leading edge DevOps concepts."" ",Impact 1,50.28,6
14,good in general.,good in general.,Agency 2,75,7
15,Wbs needs work as discussed in tutorial. 75,Wbs needs work as discussed in tutorial.,Sensemaking 1,75,7
16,Feedback as provided in consultation.; 70,Feedback as provided in consultation.;,Agency 1,70,8
17,Both product scope and WBS have room for improvement 75,Both product scope and WBS have room for improvement,Sensemaking 1,75,9
18,Team 1 requested to re-do the workbook 2 to better their original fail mark.,Team 1 requested to re-do the workbook 2 to better their original fail mark.,Impact 2,50,10
19,The team submitted the workbook 31 days after the submission date. KV 50,The team submitted the workbook 31 days after the submission date. KV,Sensemaking 2,50,10
20,"""Good effort all up, as I mentioned in consultation - Dont allocate 15% to risk mitigation, you need to calculate this.","""Good effort all up, as I mentioned in consultation - Dont allocate 15% to risk mitigation, you need to calculate this.",Agency 2&Impact 1,80,11
21,"Very good effort with this workbook."" 80","Very good effort with this workbook."" ",Agency 2,80,11
22,Cost report needs work as discussed in tutorial. ; 70,Cost report needs work as discussed in tutorial. ;,Sensemaking 1,70,12
23,"""Hui Pan, a reasonable attempt - you need t0 show more depth and analysis in your writing.","""Hui Pan, a reasonable attempt - you need t0 show more depth and analysis in your writing.",Agency 2&Impact 1,63.35,13
24,"However, you made a good attempt at representing the information in the visual diagram.;"" 63.35","However, you made a good attempt at representing the information in the visual diagram.;"" ",Sensemaking 1,63.35,13
25,Both product scoping and WBS have some room for improvements 80,Both product scoping and WBS have some room for improvements,Sensemaking 1,80,14
26,Cost report needs work as discussed in tutorial. ; 70,Cost report needs work as discussed in tutorial. ;,Sensemaking 1,70,15
27,You started off really strong with this workbook.,You started off really strong with this workbook.,Sensemaking 1,81,16
28,Q1 and Q2 were great.,Q1 and Q2 were great.,Sensemaking 1,81,16
29,You missed a big trick in combining labour into Q3 onwards which unfortunately cost you in terms of marks.,You missed a big trick in combining labour into Q3 onwards which unfortunately cost you in terms of marks.,Sensemaking 1,81,16
30,You have thought well about the labour cost rates and the non labour costs.,You have thought well about the labour cost rates and the non labour costs.,Sensemaking 1,81,16
31,Your report became very disjointed and hard to follow on the final few pages although I was able to find question 5 in the end. 81,Your report became very disjointed and hard to follow on the final few pages although I was able to find question 5 in the end.,Sensemaking 1,81,16
32,You put in a really good effort for this workbook.,You put in a really good effort for this workbook.,Agency 2,49,17
33,The costs you used were well sourced and you applied them to your schedule well.,The costs you used were well sourced and you applied them to your schedule well.,Sensemaking 1,49,17
34,You considered different cost types including the risk provisioning.,You considered different cost types including the risk provisioning.,Sensemaking 1,49,17
35,Unfortunately you did not answer two of the questions and were penalised heavily for that!,Unfortunately you did not answer two of the questions and were penalised heavily for that!,Sensemaking 2,49,17
36,This work you have done here regarding the report format will serve you well for the final report. 49,This work you have done here regarding the report format will serve you well for the final report.,Impact 2,49,17
37,"""overall an excellent attempt to develop more reflective (critical thinking)","""overall an excellent attempt to develop more reflective (critical thinking)",Sensemaking 2,68.2,18
38,Some of the insights provided are important and the learning you have made is excellent.,Some of the insights provided are important and the learning you have made is excellent.,Sensemaking 1,68.2,18
39,Better academic writing in using secondary refences to strengthen your discussion will provide higher marks.,Better academic writing in using secondary refences to strengthen your discussion will provide higher marks.,Impact 1,68.2,18
40,"Still, this is a significant improvement in refelctive thinking."" 68.2","Still, this is a significant improvement in refelctive thinking."" ",Sensemaking 2,68.2,18
41,Feedback as provided in consultation.,Feedback as provided in consultation.,Agency 1,68,19
42,Predecessors are missing from the Gantt chart.; 68,Predecessors are missing from the Gantt chart.;,Sensemaking 1,68,19
43,"""See attached feedback.","""See attached feedback.",Agency 1,57,20
44,"Please note that all project teams were provided feedback from KV in consultations held in the week comm 19/4, and provided a summary version of their feedback at that time. KV"" 57","Please note that all project teams were provided feedback from KV in consultations held in the week comm 19/4, and provided a summary version of their feedback at that time. KV"" ",Agency 1,57,20
45,Paper was moderated by all tutors. 67.49,Paper was moderated by all tutors.,Agency 1,67.49,21
46,DevOps doesn’t = Agile. Agile is part of the DevOSp cycle as is predictive planning. The design model of EA is important in this issue,DevOps doesn’t = Agile. Agile is part of the DevOSp cycle as is predictive planning. The design model of EA is important in this issue,Sensemaking 1&Impact 1,55.04,22
47,There is a lack of understanding on DevOPS and EA and requirements development.,There is a lack of understanding on DevOPS and EA and requirements development.,Sensemaking 1,55.04,22
48,The assignment is disjointed and poorly developed.,The assignment is disjointed and poorly developed.,Sensemaking 2,55.04,22
49,;Some of your references are ??? A printer as a reference. YOu lost marks in that section.,;Some of your references are ??? A printer as a reference. YOu lost marks in that section.,Sensemaking 1,55.04,22
50,You need to watch how you use citations.,You need to watch how you use citations.,Impact 1,55.04,22
51,YOu are on the limit of having to repeat as there is too much copying of refewrnces. They need to be rewritten. 55.04,YOu are on the limit of having to repeat as there is too much copying of refewrnces. They need to be rewritten.,Sensemaking 1&Impact 1,55.04,22
52,good in general.,good in general.,Agency 2,75,23
53,Wbs needs work as discussed in tutorial. 75,Wbs needs work as discussed in tutorial.,Sensemaking 1,75,23
54,"""Xinyang, more depth of analysis is required here.;"" 57.03","""Xinyang, more depth of analysis is required here.;"" ",Sensemaking 2,57.03,24
55,Feedback as provided in consultation.; 65,Feedback as provided in consultation.;,Agency 1,65,25
56,"""This assignment fails to answer the questions to the depth required.","""This assignment fails to answer the questions to the depth required.",Sensemaking 2,19.25,26
57,"Fails to show any knowledge of DevOps, the place of SDLC in DevOps and EA design concepts as related to the development on conceptual design, non functional and functional requirements.","Fails to show any knowledge of DevOps, the place of SDLC in DevOps and EA design concepts as related to the development on conceptual design, non functional and functional requirements.",Sensemaking 1,19.25,26
58,"LAcks research and approapriate critical thinking."" 19.25","LAcks research and approapriate critical thinking."" ",Sensemaking 1,19.25,26
59,good submission.,good submission.,Agency 2,80.38,27
60,Needed some more indepth discussion and particularly on EA conceptual design as the driver for the functional and non fucntional requiremnts driver.,Needed some more indepth discussion and particularly on EA conceptual design as the driver for the functional and non fucntional requiremnts driver.,Sensemaking 1,80.38,27
61,Also DevOps intergrates Agile (SDLC) into a planned environment (predictive PM) and organisations need to define the levels of planning apprioapriately.; 80.38,Also DevOps intergrates Agile (SDLC) into a planned environment (predictive PM) and organisations need to define the levels of planning apprioapriately.;,Impact 1,80.38,27
62,Feedback as provided in consultation.; 65,Feedback as provided in consultation.;,Agency 1,65,28
63,"Please review the attached """"Turnitin"""" download.","Please review the attached """"Turnitin"""" download.",Agency 1,58.9,29
64,"While the coversheet has contributed significantly to the high score, you will be able to see that there is also some poor practise in developing content from a reference that needs to be addressed. This is a development skill that will need to be addressed BEFORE the next assignment.","While the coversheet has contributed significantly to the high score, you will be able to see that there is also some poor practise in developing content from a reference that needs to be addressed. This is a development skill that will need to be addressed BEFORE the next assignment.",Sensemaking 1&Impact 2,58.9,29
65,";Overall, some good work, however many easy marks were lost in a non exsistant exec summary (the abstract did not provide the required information satisfactorily) the introduction was poor.",";Overall, some good work, however many easy marks were lost in a non exsistant exec summary (the abstract did not provide the required information satisfactorily) the introduction was poor.",Agency 2&Sensemaking 1,58.9,29
66,"While it seems your research skills are good and finding definitions and anlysis, htere is a fundamential issue with your DevOps understanding. ;THis created issues with yiour descriptions of how DevOps and EA fit within PM. The key is understanding that EA manages the business requyirements at coneptual level (you did not really discuss this) and these requirements are of a functional and non functional nature. Cybersecurty is part of this. PM manages the planning and delivery of these requirements.;"" 58.9","While it seems your research skills are good and finding definitions and anlysis, htere is a fundamential issue with your DevOps understanding. ;THis created issues with yiour descriptions of how DevOps and EA fit within PM. The key is understanding that EA manages the business requyirements at coneptual level (you did not really discuss this) and these requirements are of a functional and non functional nature. Cybersecurty is part of this. PM manages the planning and delivery of these requirements.;"" ",Sensemaking 1&Impact 1,58.9,29
67,Generally a reasonable effort.,Generally a reasonable effort.,Agency 2,60.9,30
68,Starting to develop analytical thinking in writing although writing is still heavily descriptive.,Starting to develop analytical thinking in writing although writing is still heavily descriptive.,Sensemaking 1,60.9,30
69,Better use of in-text citations and the secondary references to develop your comments more as informed discussion rather than repenting the writing as descriptive opinion.; 60.9,Better use of in-text citations and the secondary references to develop your comments more as informed discussion rather than repenting the writing as descriptive opinion.;,Sensemaking 1,60.9,30
70,Feedback as provided in consultation.,Feedback as provided in consultation.,Agency 1,72,31
71,Visibility of WBS needs to be addressed.; 72,Visibility of WBS needs to be addressed.;,Sensemaking 1,72,31
72,Both product scope and WBS has room for improvement 75,Both product scope and WBS has room for improvement,Sensemaking 1,75,32
73,"""Referencing is not to APA standards.","""Referencing is not to APA standards.",Sensemaking 1,53.15,33
74,"Overall a failure to fully inderstand the DevOps conepts taught in this course and the role of EA in defining thre requirenments that allow planning, via predicitive PM methodology for delivery of the SDLC (typically Agile) .","Overall a failure to fully inderstand the DevOps conepts taught in this course and the role of EA in defining thre requirenments that allow planning, via predicitive PM methodology for delivery of the SDLC (typically Agile) .",Sensemaking 1,53.15,33
75,No discussion on EA conceptual design and requirements development of non functional and functional requirements.,No discussion on EA conceptual design and requirements development of non functional and functional requirements.,Sensemaking 1,53.15,33
76,"Cybersecurity is a non functional requirement that needs to be developed prior to Logical and physical design in the SDLC."" 53.15","Cybersecurity is a non functional requirement that needs to be developed prior to Logical and physical design in the SDLC."" ",Impact 1,53.15,33
77,"""Overall, your PM knowledge application is well balanced across all knowledge areas.","""Overall, your PM knowledge application is well balanced across all knowledge areas.",Sensemaking 2,75.12,34
78,;Your critical skills is at developing level;,;Your critical skills is at developing level;,Sensemaking 1,75.12,34
79,"Overall, reasonable.","Overall, reasonable.",Agency 2,75.12,34
80,Lost marks from being too brief in anlysis really.,Lost marks from being too brief in anlysis really.,Sensemaking 1,75.12,34
81,"In essence the report contsined most infromation, however the analysis of application needed further depth.","In essence the report contsined most infromation, however the analysis of application needed further depth.",Sensemaking 2&Sensemaking 1,75.12,34
82,"Quality of report in presen tation was average and needs work on. ;"" 75.12","Quality of report in presen tation was average and needs work on. ;"" ",Sensemaking 1,75.12,34
83,"""as per the general video comments, particularly with regard to using provided papers and referencing.;"" 70","""as per the general video comments, particularly with regard to using provided papers and referencing.;"" ",Agency 1,70,35
84,"""Overall, lacks understanding of the concepts as taught in this subject.","""Overall, lacks understanding of the concepts as taught in this subject.",Sensemaking 2,38.25,36
85,"Fails to discuss the role of EA in conceptural design, functional and non fucntional requirements.","Fails to discuss the role of EA in conceptural design, functional and non fucntional requirements.",Sensemaking 1,38.25,36
